token;freq
se;17311
pan;573
kwan;1766
tos;3658
es;14927
ta;15926
kaɾ;3557
bje;1872
ɾen;3227
ko;11160
mo;9566
io;3282
don;10478
fe;3880
ran;1186
do;22927
poɾ;12606
la;22340
ɡɾa;1868
sia;5704
de;57952
djos;1519
ɾei;5003
kas;2326
tje;2989
ʝa;5471
to;16164
le;4852
leon;1501
ɡa;6235
ʝi;1107
sja;2265
bi;7390
koɾ;1635
ba;8695
muɾ;1277
xaen;1010
del;8526
al;9985
ɡaɾ;2597
be;5032
e;29817
ɲoɾ;457
li;3581
na;7799
una;2028
ke;31139
obo;50
man;5603
da;14411
daɾ;1873
el;13608
san;1898
t͡ʃo;3520
mjo;1493
pa;7300
dɾe;835
peɾ;1656
ne;4200
obis;3305
po;8818
buɾ;720
ɡos;1206
a;14218
su;4322
eɡle;968
t͡ʃa;1577
en;19485
ɡi;581
sa;6834
dos;5427
los;12318
me;7337
ɾi;3030
nos;5180
las;6047
ɾin;97
des;5643
xe;2695
ɾes;4889
fon;2379
sade;137
ɾa;13729
essas;18
salut;303
dikso;79
akae;138
xeɾ;251
ra;1248
bos;3027
ssa;836
ʝos;1260
an;2814
pein;237
dɾa;313
eʝa;395
so;9555
bɾ;246
mos;4942
tɾo;2818
pɾi;1964
xios;382
nen;870
ɾeis;36
on;642
ben;1474
ɡo;6436
kon;17535
fiɾ;8634
ma;15808
mi;6851
fa;3667
ʝe;1686
non;3784
nin;3826
iɾ;303
pi;1098
djo;1006
meɾ;1555
set;390
s;1885
i;8247
lo;9010
bjen;2624
ɡwaɾ;934
ɾe;9594
t͡ʃos;1266
seɾ;3307
sos;874
ten;1749
les;4552
afin;45
eʝo;701
si;8435
te;12959
o;3052
son;2064
teɾ;1445
ɡadxe;9
lwe;259
fjen;273
mjen;2320
tɾe;2784
ɡwno;1003
sea;1580
osa;432
dɾaɾ;81
ssaɾ;136
ɡw;2231
kontɾa;1252
ka;10751
kwal;958
kjeɾ;902
fi;3504
sje;1819
ja;79
pe;7874
t͡ʃaɾ;454
eʝos;1292
di;6653
ɲo;1563
bla;681
otɾo;1776
ki;1708
sin;1206
kweɾ;255
pos;467
obje;1247
ss;270
toɾ;1017
ɾja;2066
ks;98
djas;1367
abɾil;142
eɾa;1281
ʝ;1574
sjen;940
beint;106
tɾes;487
aɲos;1227
ɾoi;408
maɾ;1851
ti;5799
nes;3824
fis;571
kɾi;955
biɾ;758
aɡo;463
bin;71
otɾas;416
mu;1975
t͡ʃas;508
ies;373
das;2261
beɾ;1575
dat;685
sus;2301
kau;179
ɾan;1250
d;2418
aki;688
ade;1016
lan;1166
ʝas;537
bɾe;3359
den;1960
dɾen;72
ken;79
ian;246
xos;782
ʝes;416
otɾos;1175
apoɾ;118
tɾas;666
lau;23
siɡ;234
bano;176
pu;984
bli;241
atɾo;13
ɡan;757
bes;955
dis;1303
nwe;659
end;169
bo;2738
lun;184
tad;355
kom;1373
pli;473
fɾan;485
sas;1625
dje;1388
ssen;869
men;3419
ɡwa;338
bwes;912
mas;2890
ssee;7
ʝo;2237
kol;220
xu;1175
njo;360
tɾein;147
nķa;267
in;3393
fan;816
tjo;310
tu;1832
baɾ;1051
min;604
ɡes;331
ķu;121
om;1465
kwe;449
nje;566
ɾon;2906
ɾos;1663
kwen;816
senos;3
ban;1094
dɡo;223
deɾ;773
djen;296
ia;906
alaɾ;45
lu;1110
abjen;261
boɾ;211
paɾ;1533
tweɾ;85
unos;255
teo;55
tɾa;2633
xo;3098
abje;154
nwes;2313
sabwe;83
oi;526
bis;859
akel;298
kos;1067
bjos;66
eɾan;198
nus;188
akɾe;60
ɾaɾ;333
ssi;963
pɾe;2674
mja;196
ɾjo;1507
tɾos;951
ɾeɡ;1048
fwe;2303
aɡwa;93
sal;625
bal;220
b;397
bea;129
mut;5
kwa;852
iu;178
aɲo;827
otɾa;604
em;1825
ɡe;702
nun;276
ksa;121
ɡwnd;196
assi;954
sjem;660
xa;1495
ɾo;6899
ɲaɾ;94
mjaɾ;84
ena;122
naɾ;540
mis;954
aun;306
aian;415
pɾo;1952
ioɾ;1117
lje;109
sali;114
nas;903
abɾiɾ;17
bɾaɾ;139
seks;71
sien;680
otoɾ;993
mon;681
sen;2101
xio;784
saka;78
eʝas;281
kad;75
abe;318
suk;59
abeɾ;334
uso;100
sse;220
sjon;674
ble;1231
dub;113
dean;143
tas;2138
k;212
neɾ;479
see;1188
plo;522
nom;257
no;5578
pɾja;22
bɾes;343
pɾjas;2
kɾip;97
atjenķa;17
mes;930
aɡos;161
baen;112
teus;8
dei;69
tja;707
t͡ʃen;111
sis;680
epis;223
pus;289
subs;18
mus;42
et;399
eɡo;44
ɡwn;905
salu;42
us;67
kan;796
salwi;2
aɾ;731
t͡ʃi;243
dja;1128
au;464
ɾjus;19
sius;38
elek;533
tus;74
ʝs;114
nja;382
ɾum;45
ni;2882
xis;202
wi;29
ʝel;6
op;45
pɾas;31
sjus;7
sko;5
kal;636
sil;242
aɾķo;308
mino;323
ɲas;260
re;440
mal;245
t͡ʃe;461
fal;160
kjen;385
mwe;105
bles;182
sias;500
aben;328
sie;476
bil;531
auk;5
tɾen;75
apa;197
kje;539
fo;353
ɾķa;135
aiu;219
tal;602
sean;533
ɡwnt;179
ķa;470
mjeɾko;61
xil;408
sios;392
bja;1339
nu;699
amaɾ;89
ond;22
sjas;166
ɡas;293
ab;295
ɾje;486
iɾa;234
m;532
je;230
ksii;18
tjem;737
dɾo;681
bjo;672
kɾis;209
enel;2
ffi;14
spi;9
sson;1
sso;4
un;2582
ɾwiķjo;1
xen;493
ɡlo;113
adwo;1
ffe;18
ɾal;480
ffa;5
ljewen;2
lant;213
olwi;2
pjeɾ;101
kuɾ;118
mun;342
ake;994
ffin;1
ɡia;29
doɾ;916
ɾesķe;1
bwen;61
laɾ;380
kaeɾ;38
pɾjui;16
pwes;1104
towie;2
ffwessen;1
lewaɾ;1
reķi;1
tan;1931
akes;33
kja;23
dent;55
feɾ;500
nan;626
sewi;3
dowa;4
noɾ;181
kons;200
mx;4
ffan;14
ljo;166
ɡɾan;324
aju;2
ene;135
ɾjen;206
ɡiɾ;74
bwe;536
kɾee;33
ɾaķon;50
ɾwi;17
sio;2644
pwe;864
seeɾ;78
apɾowe;1
axu;16
kis;101
aka;226
tte;13
ɾķe;1
alos;15
alas;6
oɾ;953
kle;243
we;128
bsos;1
aɡwaɾ;27
ɡ;58
xus;405
xwe;291
ses;1001
nwewa;3
ɡli;5
pliɾ;185
ku;1496
plan;142
x;40
ɾjos;359
nxn;21
owie;5
ato;16
axun;11
niɾ;186
wa;41
nal;671
tes;2062
diɾ;208
ffen;8
et͡ʃaɾ;24
et͡ʃa;36
wian;2
kawa;3
bsen;1
abba;2
as;770
bsa;1
sau;14
u;67
ffon;16
amas;62
xia;127
tum;247
bɾan;169
bɾa;604
tɾaɾ;160
awen;1
usa;97
peesķa;1
salwo;3
usen;34
du;937
ɾas;726
xn;11
jus;17
pon;419
pes;586
anno;15
tɾjas;51
bjenes;189
ɾino;412
tiķja;3
kum;419
plje;57
ssade;3
ase;260
ɾewo;1
blas;62
wo;25
aia;370
sieɾ;150
peķjal;2
bɾen;29
plei;219
lit;254
kk;90
kkslb;1
kksl;1
ɾeķa;4
blos;53
t͡ʃan;290
pla;735
taɾ;1196
xoan;1339
awe;4
bjujen;1
ala;89
sjo;410
ien;170
ot͡ʃo;197
ju;32
kkk;306
nwewe;1
bno;3
ɾķja;4
ffiɾ;6
saɾ;573
ffɾo;1
eɾ;297
dɾi;786
tia;1
t͡ʃanķe;1
leɾ;136
len;620
ɡowia;1
os;259
pas;493
lao;112
ɡenķa;1
awi;1
senķja;1
taje;1
ton;315
alwa;3
ffɾei;4
tɾawa;1
pɾjoɾ;20
nwel;151
lop;85
ffje;1
is;531
dan;573
ɾķi;1
nojo;1
l;139
ri;266
ɡws;217
joan;29
maķa;28
ɾwe;228
jo;16
fje;130
ɡon;123
oɾens;116
ķib;2
dajos;1
tui;106
soe;1
sant;182
pons;39
dɾiɡ;74
ɾjas;290
kswa;4
deķa;2
rand;268
t͡ʃes;138
t;73
tjel;33
nowo;1
abbat;1
aɾwas;1
ro;361
ffis;1
kɾjuiɾ;1
seno;75
rei;7
reɡ;1
piɾi;60
ad;221
ol;67
ɡwe;56
fin;252
fwessen;90
adent;1
ɲa;1483
tanķa;16
apɾo;104
usos;83
fen;392
mei;31
bjan;159
tino;87
lķa;10
siɾ;460
ksje;221
fɾon;122
sjes;58
senon;7
mui;541
bjaɾ;56
fwes;116
ren;26
nid;1
tɾu;46
baeķa;148
ksks;150
ii;227
ksksii;36
objes;27
abwe;139
uno;612
kɾus;45
eban;16
ljos;21
ome;36
bus;241
emen;55
am;343
afo;24
salje;23
bean;20
bein;259
kɾe;603
abat;62
font;12
omin;10
tjen;255
mont;63
abi;201
njen;184
paɾt;11
kam;440
fɾe;167
ɾeɾ;21
aden;11
afwe;9
sol;145
fas;448
tɾ;38
tiɾ;215
nķal;480
rant;169
kla;456
aʝi;107
pen;422
oɲa;11
tod;27
sed;635
eks;871
biª;2
sii;17
mª;58
kkª;57
lks;46
ksª;33
dea;123
alju;15
ɾein;7
aɾanķa;39
oli;79
weɾ;104
est;12
seis;273
alu;26
faķal;15
kaķaɾ;32
lin;152
let;4
fɾai;105
ʝaɾ;412
fɾo;142
sib;303
dad;1565
ɾeal;131
pal;127
djes;537
mil;184
ant;22
maɡ;21
lwis;58
dal;68
iɡle;73
apos;31
pɾa;226
tɾi;360
xwan;207
bɾi;156
ofi;224
ʝeɾ;150
fu;315
aɡws;12
tin;649
