token;freq
sepan;325
cuantos;422
esta;2691
carta;2091
vieren;525
cómo;660
yo;2357
don;10134
ferrando;661
por;10471
la;18167
gracia;1166
de;46398
dios;1268
rey;4557
castiella;1343
toledo;1304
león;1475
gallizia;956
sevilla;1381
córdova;1075
murcia;1248
jaén;996
del;8486
algarbe;458
e;27868
señor;456
molina;257
vi;97
una;2016
que;27538
ovo;49
mandado;883
dar;870
el;12769
sancho;697
mio;1202
padre;542
perdone;81
al;2792
obispo;3024
burgos;632
a;11424
su;2900
eglesia;855
fecha;423
en;15929
guisa;266
todos;1583
los;11789
merinos;177
las;5530
merindades;30
obispado;173
cogedores;124
fonsadera;116
essas;18
salut;303
sepades;190
me;1649
dixo;79
cuando;679
acaece;9
mando;998
coger;41
tierra;554
vós;994
demandades;22
vassallos;242
él;767
an;433
peindrades;16
ella;395
sobr;245
esto;1191
mostrome;11
privilegios;288
tienen;279
reis;31
onde;313
vengo;85
confirmados;20
alfonso;2054
mí;686
fallé;49
non;3644
deven;165
nin;2132
ir;286
fonsado;33
pidiome;35
mercet;375
mandasse;170
ý;1002
lo;4317
toviesse;221
bien;1946
guardar;218
derechos;321
fazer;1198
sos;232
tengo;413
les;2010
fagades;248
peindredes;22
afinquedes;15
ello;701
si;1784
algo;254
tenedes;39
tomado;108
o;2558
peindrado;39
razón;874
entergádgelo;7
luego;250
todo;1333
defiendo;225
firmemientre;144
ninguno;718
sea;1511
osado;393
peindrar;40
passar;132
ninguna;704
cosa;831
contra;1182
ca;418
cualquier;488
fiziesse;312
le;702
ía;71
pechar;386
pena;353
ellos;1292
dize;187
daño;438
recibieren;17
doblado;336
otro;714
alguno;193
quisieren;147
gelo;441
consintades;56
fizieren;61
ende;556
ál;369
cuerpos;73
cuanto;486
oviéssedes;49
tornaría;201
dada;556
x;42
días;1029
abril;142
era;1267
mill;1178
trezientos;332
veint;105
tres;458
años;1227
roy;400
martínez;435
fiz;506
escrivir;250
díaz;282
ferrán;37
ferrández;369
agora;445
vin;4
otras;416
muchas;131
tiene;265
reyes;279
confirmadas;4
gelas;70
porque;1301
verdat;66
sus;2106
son;913
quitos;64
recaudadores;3
serán;188
d;2405
aquí;675
adelante;426
villas;299
logares;380
sobredicho;707
demanden;38
peindren;48
afinquen;6
vayan;46
concejos;240
alcalles;214
otros;1175
aportellados;99
mi;1537
traslaudo;2
signado;25
escrivano;126
público;82
se;3428
atroviere;1
tomar;150
alguna;262
fagan;309
entergar;11
que·l;256
cada;635
vez;240
fiziere;57
moravedís;717
moneda;439
nueva;286
guarden;77
pora;1629
mandare;63
end;167
manera;415
voluntad;112
es;2258
complidamientre;52
franquezas;159
libertades;103
perdiessen;1
menoscabassen;2
mengua;17
vuestro;273
mandaría;36
demás;217
mandé;261
sseellada;3
con;5011
sseello;3
cera;100
colgado;163
dizisiete;3
junio;114
treinta;146
siete;149
gonçalo;181
infante;781
henrique;47
so;366
tío;116
tutor;92
garcía;635
pérez;1279
bartolomé;58
tomé;19
domínguez;99
coñoçuda;93
omnes;925
cuémo;139
ante;597
nós;1341
vinieron;64
cavalleros;292
bonos;184
cuenca;354
querelláronsenos;2
cabillo;107
tomavan;29
portadgo;157
castiello;50
paracuellos;18
ganados;153
levavan;22
vender;172
moros;180
estremos;2
vendién;2
moya;8
alarcón;9
lugares;109
ó;165
devién;64
como;2443
aviendo;60
sabor;87
partidas;25
oviessen;136
fiziessen;73
tuerto;69
unos;255
fiziemos;29
llamar;17
mateo;22
mostráronle;2
querellas;32
concejo;1067
avién;193
mostrónos;2
avié;93
nuestro;1194
visavuelo;74
como·l;5
dieron;140
oídas;27
vistos;7
sobre;758
aquel;297
oviemos;22
consejo;147
ricos;167
sabios;5
eran;198
connusco;46
toviemos;21
acrecer;12
mejorar;42
fizieron;167
otrossí;963
sacar;57
premia;24
davan;16
señorío;100
nuestros;423
regnos;240
fuera;205
diemos;53
pozos;13
agua;89
sal;42
aviemos;40
val;33
tavlado;2
solobre;4
behamut;4
cuatro;329
yugadas;20
heredat;213
pan;154
año;825
dos;774
jugadas;29
jugada;8
otra;604
partida;19
pozo;8
embargue;14
entradas;68
sallidas;40
pacer;28
damos;105
camio;35
nos;898
renunciaron;2
delexaron;2
derecho;547
sobredichos;347
cual;175
quier;191
algund;3
dámosles;41
assí;954
siempre;612
jamás;234
juro;124
empeñar;73
camiar;77
enagenar;91
suyo;194
mismo;351
aún;85
ayan;414
más;1544
pro;179
mayor;915
tenemos;339
mandamos;575
lieven;33
estos;603
venda;14
fuero;457
vende;4
nuestras;152
salinas;39
diémosles;10
este;1428
fizo;183
abrir;16
labrar;56
sexcientos;2
dineros;81
otorgamos;239
confirmámosles;10
dio;181
castiellos;55
montagudo;6
términos;198
dizen;198
confirmó;10
privilegio;532
sacado;38
sinon;136
ellas;281
cad;73
avemos;103
tollido;2
dado;174
esse;79
lugar;203
entendiendo;42
gradecémoslo;2
mucho;317
recebimos;9
da;91
sobredichas;163
renunciamos;8
delexamos;2
successores;49
aver;310
deviemos;4
uso;92
possesión;3
oviéssemos;12
pagamiento;7
firme;340
estable;247
venga;114
dubda;97
deán;136
cartas;482
b;13
c;19
sobredicha;236
tengamos;6
tenga;82
poner;127
seello;566
plomo;305
escriviemos;6
nombre;170
nuestra;536
mano;96
propria;21
pusiemos;12
pusieron;28
personas;170
escrivieron;3
nombres;24
manos;48
proprias;2
escriptas;20
atiença;17
domingo;247
v;32
andados;229
mes;299
agosto;120
dozientos;182
novaenta;112
cinco;270
matheus;8
dei;57
gratia;42
conchensis;17
episcopus;220
subscribimus;2
et;399
confirmamus;2
ego;42
gundisaluus;2
garsie;10
cantor;5
subscribo;13
confirmo;45
martinus;15
gundisalui;2
archidiaconus;8
alarconensis;2
tesaurarius;2
sancius;17
toletane;12
sedis;19
electus;5
hispaniarum;3
primas;12
domini;48
regis;57
cancellarius;7
decanus;2
willelmus;2
optensis;2
modiensis;2
suscribo;2
prascasius;2
magister;3
scolarum;2
alcaldes;279
alguazil;30
carmona;10
di;105
arçobispo;259
heredamientos;174
çulemán;8
término;243
éstos;14
todas;570
viñas;85
torre;56
malcheni;1
heredamiento;165
falchena;1
remullena;1
vos;1177
vista;127
entreguedes;19
quien;353
muebles;20
pertenencias;79
tenié;24
murió;34
aventura;61
algún;122
embargo;109
acaeciesse;8
pudiéssedes;3
entregar;72
desde;316
cabildo;432
auctoridat;2
suya;21
tomen;134
entren;20
aparezca;2
quiero;99
embargasse;6
forçasse;2
defienda;10
poder;188
á;311
ayudedes;6
tal;233
sean;524
entregados;10
segunt;166
çamora;256
miércoles;61
sex;38
doze;81
gil;397
muchos;231
servicios;186
segovia;272
só;38
tenudo;33
amarle;1
onrarle;1
fazerle;12
cosas;688
ond;22
fuerça;97
eglesias;113
casas;292
celleros;1
bodegas;4
avrié;174
ira;220
m;218
ié;222
coto;252
qui;258
voz;51
toviere;64
xii;17
setiembre;44
pedro;517
medina;40
escrivió;154
crismón;1
enel;2
ffijo;3
spiritu;1
santo;70
sson;1
perssonas;1
un;2572
onrra;2
seruiçio;1
dela;16
virgen;29
gloriosa;11
santa;271
maria;5
madre;206
sennora;1
aduogada;1
ffechos;1
natural;39
omne;290
ffaze;1
quiere;95
lieuen;2
adelant;67
sse;3
oluide;1
pierda;42
cansse;1
migue;1
cursso;1
uida;1
deste;3
mundo;187
aquello;136
ffinca;1
memoria;16
guiador;11
alma;53
meresçedor;1
buen;60
galardon;1
caher;1
oluido;1
mandaron;28
escripto;36
priuilegios;8
regnassen;11
despues;7
dellos;2
touiessen;2
logar;310
ffuessen;1
tenidos;21
leuar;1
confirmando;2
aquellos;597
rreçiben;1
rogar;22
catando;36
aquesto;21
queremos;63
priuilegio;6
seran;2
daquiadent;1
fernando;270
leon;11
seuilla;3
cordoua;4
jahen;5
ssennor;2
reyna;3
donna;4
constanca;1
mj;4
muger;75
inffante;5
lionor;5
fija;32
primera;172
heredera;9
sabiendo;11
venimos;58
onrraron;1
dotaron;3
grandes;98
donadios;1
guardaron;8
gracias;53
fueron;292
mantenidos;7
aiudados;1
sennaladamientre;1
enemigos;21
ffe;1
queriendo;22
seguir;36
carrera;101
delos;14
buenos;259
sabemos;32
creemos;4
guerra;157
coraçon;1
seruicio;2
puede;231
seer;75
tan;380
aprouechosa;1
ajuda;7
sin;598
qual;6
conquista;8
acabar;23
ttenemos;1
algunas;121
merçedes;1
alos;15
prelados;113
alas;6
ordenes;9
clerigos;5
mientre;30
confirmamos;31
uenimos;2
vsos;1
aguardagdos;1
justicias;90
juezes;99
